id,name,fullname,vat,company_registry,mfo,ceo_id:id,dgf_status_id:id,dgf_statusdate,dgf_terminationdateplan,website,active
company_300852,"ПАТ ""КБ ""АКТИВ - БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""АКТИВ-БАНК""",26253000,26253000,300852,person_2,dict_5,2019-12-21,,https://abank.fg.gov.ua,1
company_300863,"ПАТ ""КРЕДИТПРОМБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КРЕДИТПРОМБАНК""",21666051,21666051,300863,person_11,dict_6,2020-10-01,2020-10-01,https://Kpb.fg.gov.ua,0
company_300885,"АТ ""АРТЕМ-БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АРТЕМ-БАНК""",26253023,26253023,300885,person_2,dict_5,2019-06-24,,https://artem.fg.gov.ua,1
company_300904,"АТ ""ФОРТУНА-БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ФОРТУНА-БАНК""",26254732,26254732,300904,person_12,dict_6,2020-03-17,2020-03-17,https://fortuna.fg.gov.ua,0
company_303484,"ПАТ ""ЗАХІДІНКОМБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЗАХІДІНКОМБАНК""",19233095,19233095,303484,person_13,dict_6,2019-05-03,2019-05-03,https://zahidinkom.fg.gov.ua,0
company_304706,"АТ ""СП БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СХІДНО-ПРОМИСЛОВИЙ КОМЕРЦІЙНИЙ БАНК""",23478833,23478833,304706,person_14,dict_7,2015-09-11,,https://spb.fg.gov.ua,1
company_304988,"ПАТ ""УКРКОМУНБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКИЙ КОМУНАЛЬНИЙ БАНК""",24191588,24191588,304988,person_14,dict_7,2015-09-14,,https://ukrcomun.fg.gov.ua,1
company_305062,"АКБ ""НОВИЙ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""НОВИЙ""",19361982,19361982,305062,person_11,dict_6,2020-12-28,2020-12-28,https://banknew.fg.gov.ua,0
company_305299,"АТ КБ ""ПРИВАТБАНК""","АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ПРИВАТБАНК""",14360570,14360570,305299,,dict_8,2016-12-21,,,0
company_305880,"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""",20280450,20280450,305880,person_15,dict_2,2021-09-10,,https://zemcap.fg.gov.ua,1
company_305987,"ПАТ ""ЮСБ БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЮНІОН СТАНДАРД БАНК""",20305925,20305925,305987,person_1,dict_6,2019-12-11,2019-12-11,https://unionstandart.fg.gov.ua,0
company_306704,"ПАТ ""КЛАСИКБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КЛАСИКБАНК""",23926846,23926846,306704,person_16,dict_6,2018-12-07,2018-12-07,https://classic.fg.gov.ua,0
company_307305,"ПАТ ""КБ ""АКСІОМА""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""АКСІОМА""",33972230,33972230,307305,person_17,dict_6,2019-09-03,2019-09-03,https://aksioma.fg.gov.ua,0
company_307394,"ПАТ ""АКТАБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКТАБАНК""",35863708,35863708,307394,person_2,dict_3,2018-11-12,,https://aktabank.fg.gov.ua,1
company_307424,"ПАТ ""ІНТЕРКРЕДИТБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІНТЕРКРЕДИТБАНК""",37731532,37731532,307424,person_18,dict_6,2019-07-10,2019-07-10,https://interkredit.fg.gov.ua,0
company_307435,"ПАТ ""МЕЛІОР БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МЕЛІОР БАНК""",37987811,37987811,307435,person_19,dict_6,2019-02-01,2019-02-01,https://melur.fg.gov.ua,0
company_319092,"ПАТ ""БАНК ""КИЇВСЬКА РУСЬ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""КИЇВСЬКА РУСЬ""",24214088,24214088,319092,person_2,dict_5,2021-04-29,,https://kruss.fg.gov.ua,1
company_319111,"ПАТ ""РАДИКАЛ БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РАДИКАЛ БАНК""",36964568,36964568,319111,person_2,dict_5,2020-08-20,,https://radical.fg.gov.ua,1
company_320702,"ПАТ ""БАНК НАЦІОНАЛЬНИЙ КРЕДИТ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК НАЦІОНАЛЬНИЙ КРЕДИТ""",20057663,20057663,320702,person_2,dict_5,2020-03-16,,https://bnk.fg.gov.ua,1
company_320735,"ПАТ ""ІНТЕГРАЛ-БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІНТЕГРАЛ-БАНК""",22932856,22932856,320735,person_2,dict_5,2020-08-20,,https://integral.fg.gov.ua,1
company_320843,"ПАТ ""УКРГАЗПРОМБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРГАЗПРОМБАНК""",24262992,24262992,320843,person_4,dict_6,2019-12-26,2019-12-26,https://ugpb.fg.gov.ua,0
company_320854,"ПАТ ""ДІАМАНТБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДІАМАНТБАНК""",23362711,23362711,320854,person_11,dict_3,2020-06-18,,https://diamant.fg.gov.ua,1
company_320995,"ПАТ ""БГ БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БГ БАНК""",20717958,20717958,320995,person_11,dict_6,2020-03-27,2020-03-27,https://bgbank.fg.gov.ua,0
